정류소ID,업체명,노선번호,노선유형,정류소명,전체 승차 건수,초승 건수,환승 건수,전체 하차 건수,하차 건수,미태그 건수,lon,lat
200000037,경진여객운수(주),3000,직행좌석형시내버스,KT수원지사.국민연금북수원지사,8411,5313,3098,252,252,0,127.0115668,37.29269555
200000041,경진여객운수(주),7780,직행좌석형시내버스,이목동.장안STX칸,1995,1927,68,56,56,0,126.9839895,37.31558514
200000042,경진여객운수(주),7780,직행좌석형시내버스,이목동.장안힐스테이트,3848,3782,66,56,56,0,126.9853388,37.31403084
200000067,남양여객,11,일반형시내버스,연무동차고지,3713,3640,73,32,32,0,127.0300242,37.29824017
200000068,(주)용남고속버스라인,3003,직행좌석형시내버스,율전중학교,21,20,1,1508,1508,0,126.9658593,37.30108807
200000073,경기고속,8401,직행좌석형시내버스,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,156,115,41,7035,7035,0,126.9890727,37.31248317
200000075,경기고속,8401,직행좌석형시내버스,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,7729,7353,376,308,308,0,126.9903458,37.31159184
200000077,경진여객운수(주),3000,직행좌석형시내버스,한국가스안전공사.택시공제조합,4878,4780,98,235,235,0,126.997464,37.30815934
200000078,경진여객운수(주),3000,직행좌석형시내버스,수일중학교,7673,7082,591,218,218,0,126.999878,37.30709485
200000079,경진여객운수(주),3000,직행좌석형시내버스,수일여중.대우건설기술연구원.경기도융합과학교육원,5752,5586,166,279,279,0,127.002598,37.30585347
200000080,경기고속,8409,경기순환버스(직행좌석형),한일타운.경기일보.홈플러스,37995,32861,5134,1084,1084,0,127.0066358,37.3034669
200000084,경기고속,700_2,일반형시내버스,수원시평생학습관.연무사회복지관.창룡도서관,6155,5712,443,2353,2353,0,127.0269118,37.29158925
200000085,남양여객,11,일반형시내버스,경기대수원캠퍼스입구,2275,2189,86,3,3,0,127.0298221,37.29959435
200000086,남양여객,11,일반형시내버스,연무동종점,8,8,0,2302,2302,0,127.0299157,37.29797547
200000087,남양여객,11,일반형시내버스,광교공원.경기대수원캠퍼스입구,129,123,6,3481,3481,0,127.0295586,37.29978041
200000089,(주)용남고속버스라인,3003,직행좌석형시내버스,삼환나우빌아파트,186,175,11,3810,3810,0,126.9902796,37.29311879
200000090,경진여객운수(주),7770,직행좌석형시내버스,풍림아파트,148,118,30,6960,6960,0,126.9920636,37.29886868
200000091,경진여객운수(주),7780,직행좌석형시내버스,풍림아파트,7394,6845,549,200,200,0,126.9920721,37.29861523
200000092,(주)용남고속버스라인,3003,직행좌석형시내버스,삼환나우빌아파트,6969,6626,343,174,174,0,126.990824,37.29307323
200000094,(주)용남고속버스라인,3003,직행좌석형시내버스,동원고교.해우재입구,3734,2596,1138,1035,1035,0,126.9839585,37.31695925
200000096,(주)용남고속버스라인,3003,직행좌석형시내버스,정자3동주민센터.정자동중심상가,745,634,111,10042,10042,0,126.9932534,37.2949367
200000097,(주)용남고속버스라인,3003,직행좌석형시내버스,대평중학교,29,21,8,1338,1338,0,126.9904918,37.29798061
200000098,(주)용남고속버스라인,3003,직행좌석형시내버스,동남보건대학,31,29,2,829,829,0,126.9874808,37.29659578
200000099,(주)용남고속버스라인,3003,직행좌석형시내버스,우방아파트.한화아파트.SK아파트,3183,3106,77,86,86,0,126.9845837,37.29569506
200000100,(주)용남고속버스라인,3003,직행좌석형시내버스,장안등기소.성우아파트,124,114,10,2801,2801,0,126.9833655,37.29643373
200000101,(주)용남고속버스라인,3003,직행좌석형시내버스,천천중학교,47,45,2,2237,2237,0,126.9821269,37.29915071
200000102,(주)용남고속버스라인,3003,직행좌석형시내버스,샘내현대아파트,21,18,3,1584,1584,0,126.9800237,37.30251722
200000103,(주)용남고속버스라인,3003,직행좌석형시내버스,신안아파트,23,14,9,899,899,0,126.9757053,37.30275753
200000104,(주)용남고속버스라인,3003,직행좌석형시내버스,성균관대역.고용노동부경기지청.율전성당,21965,16222,5743,10900,10900,0,126.9732413,37.30176552
200000105,(주)용남고속버스라인,3003,직행좌석형시내버스,천일초교,2294,2269,25,52,52,0,126.9779733,37.30007294
200000106,(주)용남고속버스라인,3003,직행좌석형시내버스,천천초교.천천고교,2788,2729,59,52,52,0,126.9824653,37.2990374
200000107,(주)용남고속버스라인,3003,직행좌석형시내버스,장안등기소.성우아파트,1929,1784,145,76,76,0,126.9836813,37.2964518
200000108,(주)용남고속버스라인,3003,직행좌석형시내버스,우방아파트.한화아파트.SK아파트,32,29,3,1122,1122,0,126.9847304,37.29548785
200000109,(주)용남고속버스라인,3003,직행좌석형시내버스,동남보건대학,1269,1216,53,35,35,0,126.9872903,37.29679468
200000110,(주)용남고속버스라인,3003,직행좌석형시내버스,대평중학교,1309,1210,99,35,35,0,126.9901225,37.29816563
200000111,(주)용남고속버스라인,3003,직행좌석형시내버스,정자3동주민센터.정자동중심상가,12731,11489,1242,1017,1017,0,126.9934115,37.29540115
200000116,경진여객운수(주),7770,직행좌석형시내버스,동신아파트,193,173,20,6657,6657,0,126.9941568,37.30229582
200000117,경진여객운수(주),7770,직행좌석형시내버스,북수원시장.효자문사거리,125,112,13,3852,3852,0,126.9909379,37.30632476
200000118,경진여객운수(주),7780,직행좌석형시내버스,파장초등학교.SKC,1397,1384,13,64,64,0,126.9898138,37.30795648
200000119,경진여객운수(주),7780,직행좌석형시내버스,동남아파트.북수원시장,2374,2306,68,152,152,0,126.9917157,37.30574487
200000120,경진여객운수(주),7780,직행좌석형시내버스,동신아파트,8713,8275,438,183,183,0,126.9941744,37.3026758
200000127,경진여객운수(주),7770,직행좌석형시내버스,SK스카이뷰.SK아트리움,238,171,67,7647,7647,0,126.9883081,37.30937572
200000130,경진여객운수(주),7780,직행좌석형시내버스,SK스카이뷰.SK아트리움,7650,7445,205,247,247,0,126.9887428,37.30920861
200000140,남양여객,11,일반형시내버스,보훈원복지타운.보훈요양원,1983,1919,64,42,42,0,127.0268055,37.2984605
200000141,남양여객,11,일반형시내버스,보훈교육원,25,9,16,1894,1894,0,127.025788,37.2964386
200000142,남양여객,11,일반형시내버스,경기남부보훈지청.경기도교육청,164,50,114,2227,2227,0,127.0220384,37.29457722
200000143,남양여객,11,일반형시내버스,수원농생고.수원북중학교,144,49,95,2155,2155,0,127.0208203,37.29354023
200000144,남양여객,11,일반형시내버스,교육청사거리,228,165,63,2223,2223,0,127.0182934,37.29172154
200000145,경진여객운수(주),7790,직행좌석형시내버스,경기도보건환경연구원.북수원시장.광교산입구,413,366,47,10270,10270,0,126.9943398,37.30918503
200000146,경진여객운수(주),3000,직행좌석형시내버스,경기도보건환경연구원.삼익아파트.광교산입구,10084,8006,2078,427,427,0,126.9944795,37.30947113
200000151,경진여객운수(주),7770,직행좌석형시내버스,이목동.장안힐스테이트,115,96,19,3998,3998,0,126.9854597,37.31347227
200000152,경진여객운수(주),7770,직행좌석형시내버스,이목동.장안STX칸,158,103,55,5034,5034,0,126.9838514,37.3154544
200000158,경진여객운수(주),7790,직행좌석형시내버스,삼성아파트,67,64,3,923,923,0,126.9699452,37.29419636
200000159,경진여객운수(주),7790,직행좌석형시내버스,성균관대학교,529,432,97,4328,4328,0,126.9704854,37.29707979
200000160,경진여객운수(주),7790,직행좌석형시내버스,성균관대역,3421,1078,2343,16199,16199,0,126.9713419,37.2985577
200000162,경진여객운수(주),7790,직행좌석형시내버스,성균관대학교,15890,14506,1384,1759,1759,0,126.9710126,37.29726987
200000163,경진여객운수(주),7790,직행좌석형시내버스,삼성아파트,4248,4209,39,723,723,0,126.9701602,37.29256555
200000166,남양여객,11,일반형시내버스,장안문,941,514,427,2555,2555,0,127.0158572,37.29016308
200000177,남양여객,11,일반형시내버스,장안문,2719,2398,321,2972,2972,0,127.0154387,37.29014117
200000178,남양여객,11,일반형시내버스,KB손해보험인재니움,2799,2681,118,408,408,0,127.0179438,37.29176664
200000179,남양여객,11,일반형시내버스,수원북중학교.수원농생고,3108,2900,208,135,135,0,127.0210909,37.29415389
