정류소ID,업체명,노선번호,노선유형,전체 승차 건수,초승 건수,환승 건수,전체 하차 건수,하차 건수,미태그 건수,정류장유형,환승역타입,위치(동),쉘터,BIS설치여부,LED,LCD,LED+LCD복합형,알뜰형,임대형(음성),lon,lat,정류소/정류장명,TMST_00,TMST_01,TMST_02,TMST_03,TMST_04,TMST_05,TMST_06,TMST_07,TMST_08,TMST_09,TMST_10,TMST_11,TMST_12,TMST_13,TMST_14,TMST_15,TMST_16,TMST_17,TMST_18,TMST_19,TMST_20,TMST_21,TMST_22,TMST_23
200000037,대원고속,65,일반형시내버스,8522,6420,2102,14475,14475,0,시내,일반,경기도 수원시 영화동,1.0,1.0,1.0,,,,,127.0115668,37.29269555,KT수원지사.국민연금북수원지사,172.0,128.0,91.0,75.0,77.0,188.0,310.0,541.0,843.0,725.0,695.0,705.0,712.0,762.0,790.0,810.0,841.0,909.0,915.0,724.0,567.0,525.0,404.0,267.0
200000037,경진여객운수(주),3000,직행좌석형시내버스,8411,5313,3098,252,252,0,시내,일반,경기도 수원시 영화동,1.0,1.0,1.0,,,,,127.0115668,37.29269555,KT수원지사.국민연금북수원지사,172.0,128.0,91.0,75.0,77.0,188.0,310.0,541.0,843.0,725.0,695.0,705.0,712.0,762.0,790.0,810.0,841.0,909.0,915.0,724.0,567.0,525.0,404.0,267.0
200000037,수원여객,16,일반형시내버스,5725,3947,1778,10270,10270,0,시내,일반,경기도 수원시 영화동,1.0,1.0,1.0,,,,,127.0115668,37.29269555,KT수원지사.국민연금북수원지사,172.89,128.97,91.73,75.57000000000001,77.87,188.52,310.22,541.22,843.65,725.84,695.6,705.9100000000001,712.73,762.58,790.99,810.4100000000001,841.03,909.16,915.44,724.76,567.89,525.77,404.26,267.23
200000037,수원여객,64,일반형시내버스,3651,1671,1980,1933,1933,0,시내,일반,경기도 수원시 영화동,1.0,1.0,1.0,,,,,127.0115668,37.29269555,KT수원지사.국민연금북수원지사,172.89,128.97,91.73,75.57000000000001,77.87,188.52,310.22,541.22,843.65,725.84,695.6,705.9100000000001,712.73,762.58,790.99,810.4100000000001,841.03,909.16,915.44,724.76,567.89,525.77,404.26,267.23
200000041,대원고속,1009,직행좌석형시내버스,3279,2269,1010,2339,2339,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9839895,37.31558514,이목동.장안STX칸,156.0,114.0,81.0,72.0,73.0,123.0,276.0,604.0,753.0,542.0,527.0,568.0,647.0,639.0,614.0,630.0,679.0,737.0,803.0,687.0,522.0,433.0,340.0,229.0
200000041,경진여객운수(주),7780,직행좌석형시내버스,1995,1927,68,56,56,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9839895,37.31558514,이목동.장안STX칸,156.0,114.0,81.0,72.0,73.0,123.0,276.0,604.0,753.0,542.0,527.0,568.0,647.0,639.0,614.0,630.0,679.0,737.0,803.0,687.0,522.0,433.0,340.0,229.0
200000041,수원여객,42,일반형시내버스,297,133,164,1330,1330,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9839895,37.31558514,이목동.장안STX칸,156.5,114.05,81.16,72.5,73.00999999999999,123.19,276.23,604.2,753.51,542.86,527.46,568.8199999999999,647.8399999999999,639.99,614.1500000000001,630.68,679.56,737.6099999999999,803.67,687.19,522.21,433.91,340.92,229.04
200000041,수원여객,64,일반형시내버스,143,109,34,768,768,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9839895,37.31558514,이목동.장안STX칸,156.5,114.05,81.16,72.5,73.00999999999999,123.19,276.23,604.2,753.51,542.86,527.46,568.8199999999999,647.8399999999999,639.99,614.1500000000001,630.68,679.56,737.6099999999999,803.67,687.19,522.21,433.91,340.92,229.04
200000041,용남고속,92,일반형시내버스,58,49,9,196,196,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9839895,37.31558514,이목동.장안STX칸,156.5,114.05,81.16,72.5,73.00999999999999,123.19,276.23,604.2,753.51,542.86,527.46,568.8199999999999,647.8399999999999,639.99,614.1500000000001,630.68,679.56,737.6099999999999,803.67,687.19,522.21,433.91,340.92,229.04
200000042,대원고속,1009,직행좌석형시내버스,3437,2824,613,2122,2122,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9853388,37.31403084,이목동.장안힐스테이트,136.0,94.0,65.0,54.0,55.0,95.0,221.0,596.0,763.0,491.0,466.0,507.0,597.0,595.0,565.0,594.0,655.0,707.0,776.0,663.0,493.0,408.0,331.0,205.0
200000042,경진여객운수(주),7780,직행좌석형시내버스,3848,3782,66,56,56,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9853388,37.31403084,이목동.장안힐스테이트,136.0,94.0,65.0,54.0,55.0,95.0,221.0,596.0,763.0,491.0,466.0,507.0,597.0,595.0,565.0,594.0,655.0,707.0,776.0,663.0,493.0,408.0,331.0,205.0
200000042,수원여객,42,일반형시내버스,235,184,51,1493,1493,0,"시내,마을",일반,경기도 수원시 파장동,1.0,1.0,,,1.0,,,126.9853388,37.31403084,이목동.장안힐스테이트,136.33999999999995,94.36,65.41999999999999,54.56,55.7,95.71,221.62,596.5799999999999,763.0300000000001,491.03,466.74,507.18,597.4,595.8499999999999,565.28,594.26,655.8,707.85,776.85,663.3,493.71,408.04,331.79,205.65
